更新时间,#genre#
20260713-07-22-29,url


RespoTime,whitelist,#genre#
596.58ms,CCTV1,http://1.192.244.238:8188/rtp/239.16.20.1:10010
666.98ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.126:8002
592.12ms,CCTV1,http://123.118.54.216:8686/rtp/239.3.1.129:8008
597.94ms,CCTV1,http://221.220.131.71:8012/rtp/239.3.1.129:8008
593.11ms,CCTV1,http://121.237.245.222:8888/rtp/239.49.8.129:6000
592.95ms,CCTV1,http://111.196.129.242:20000/rtp/239.3.1.129:8008
236.61ms,CCTV1,https://t.freetv.fun/live/cctv1-3.m3u8
597.04ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.33:8002
193.89ms,CCTV1,https://t.freetv.fun/live/cctv1-4.m3u8
593.08ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.210:8068
595.83ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.53:8060
154.47ms,CCTV1,https://t.freetv.fun/live/cctv1-8.m3u8
597.63ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.1:8008
200.93ms,CCTV1,https://t.freetv.fun/live/cctv1-11.m3u8
597.59ms,CCTV1,http://121.29.215.51:2083/rtp/239.253.92.83:8012
593.24ms,CCTV1,http://60.4.29.80:8077/rtp/239.253.92.83:8012
222.56ms,CCTV1,https://t.freetv.fun/live/cctv-1-3.m3u8
592.50ms,CCTV1,http://121.237.245.222:8888/rtp/239.49.8.19:9614
198.66ms,CCTV1,https://t.freetv.fun/live/cctv1.m3u8
595.26ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.194:4120
172.86ms,CCTV1,http://69.30.245.50/live/cctv1.m3u8
107.09ms,CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
595.60ms,CCTV1,http://115.171.216.32:4000/rtp/225.1.8.81:8176
273.62ms,CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
508.39ms,CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
267.50ms,CCTV1,http://204.12.221.218:8181/3m1080p/cctv1.m3u8
529.06ms,CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
551.19ms,CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
359.40ms,CCTV1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
51.96ms,CCTV1,https://t.freetv.fun/live/cctv1-7.m3u8
49.62ms,CCTV1,https://t.freetv.fun/live/cctv1-9.m3u8
645.49ms,CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
461.83ms,CCTV1,http://198.204.228.26/live/cctv1hd.m3u8
612.03ms,CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
188.93ms,CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
526.27ms,CCTV1,http://60.10.139.113:8801/hls/1/index.m3u8
557.35ms,CCTV1,http://153.0.171.163:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
702.87ms,CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
720.12ms,CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
596.54ms,CCTV1,http://222.223.41.27:8888/hls/1/index.m3u8
670.86ms,CCTV1,http://59.39.89.130:60901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
514.33ms,CCTV1,http://39.77.158.228:4002/rtp/239.253.254.77:8000
540.32ms,CCTV1,http://106.59.3.171:55555/rtp/239.200.200.117:8712
517.10ms,CCTV1,http://112.46.85.60:8009/hls/501/index.m3u8
549.47ms,CCTV1,http://106.59.3.171:55555/rtp/239.200.201.45:8800
511.70ms,CCTV1,http://39.77.158.228:4002/rtp/239.253.254.89:8000
1696.27ms,CCTV1,http://play.kankanlive.com/live/1698234869325962.m3u8
213.75ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=14
72.64ms,CCTV1,https://t.freetv.fun/live/cctv-1-1.m3u8
150.05ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=6
540.40ms,CCTV1,http://207.56.13.146:81/cdnlive/cctv1.m3u8
195.26ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=16
505.01ms,CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8
1618.33ms,CCTV1,http://106.59.3.171:55555/rtp/239.200.200.14:8852
