更新时间,#genre#
20251229-04-32-32,url


RespoTime,whitelist,#genre#
511.52ms,CCTV1,http://114.254.37.254:18888/rtp/239.3.1.129:8008
511.96ms,CCTV1,http://114.100.195.41:4022/rtp/238.1.78.166:7200
510.58ms,CCTV1,http://115.171.80.250:1688/rtp/225.1.8.53:8060
509.48ms,CCTV1,http://115.171.80.250:1688/rtp/225.1.8.194:4120
508.20ms,CCTV1,http://106.120.13.232:4022/rtp/225.1.8.1:8008
507.93ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.53:8060
510.35ms,CCTV1,http://106.120.13.232:4022/rtp/225.1.8.33:8002
512.58ms,CCTV1,http://106.59.2.153:55555/rtp/239.200.201.45:8800
517.17ms,CCTV1,http://115.171.80.250:1688/rtp/225.1.8.1:8008
522.17ms,CCTV1,http://117.12.149.204:4022/rtp/225.1.1.120:5002
523.77ms,CCTV1,http://223.198.243.229:4000/rtp/239.253.64.120:5140
516.77ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.126:8002
522.24ms,CCTV1,http://115.171.80.250:1688/rtp/225.1.8.126:8002
523.21ms,CCTV1,http://106.59.2.153:55555/rtp/239.200.200.2:8080
522.92ms,CCTV1,http://106.59.2.153:55555/rtp/239.200.200.14:8852
521.91ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.81:8176
524.72ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.1:8008
535.77ms,CCTV1,http://115.171.80.250:1688/rtp/225.1.8.210:8068
535.94ms,CCTV1,http://106.59.2.153:55555/rtp/239.200.200.117:8712
542.07ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.33:8002
549.37ms,CCTV1,http://115.171.80.250:1688/rtp/225.1.8.33:8002
548.83ms,CCTV1,http://115.171.80.250:1688/rtp/225.1.8.81:8176
551.59ms,CCTV1,http://27.191.203.237:19999/rtp/239.254.200.45:8008
549.01ms,CCTV1,http://106.116.240.126:9999/rtp/239.254.200.45:8008
547.03ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.194:4120
579.15ms,CCTV1,http://36.46.98.163:8025/rtp/239.112.205.59:5140
601.19ms,CCTV1,http://180.105.201.135:9981/rtp/239.49.8.19:9614
621.00ms,CCTV1,http://180.105.201.135:9981/rtp/239.49.8.129:6000
404.81ms,CCTV1,http://120.211.62.180:8000/hls/1/index.m3u8
492.85ms,CCTV1,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8
511.08ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.210:8068
480.11ms,CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
525.09ms,CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
1128.08ms,CCTV1,http://111.162.204.64:8686/rtp/225.1.1.120:5002
714.15ms,CCTV1,http://112.123.206.32:808/hls/1/index.m3u8
462.77ms,CCTV1,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
324.50ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV-1
813.34ms,CCTV1,http://www.cdnstv.com:6398/hls/1/index.m3u8
536.75ms,CCTV1,http://58.51.111.46:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
